Config;OCR_module;LLM_model;Accuracy;Precision;Recall;F1_Score
0;EasyOCR;Llama37B;0,3103448275862069;1;0,3103448275862069;0,47368421052631576
0;EasyOCR;Mistral7B;0,25;1;0,25;0,4
0;KerasOCR;Llama37B;0,3103448275862069;1;0,3103448275862069;0,47368421052631576
0;KerasOCR;Mistral7B;0,25;1;0,25;0,4
0;PaddleOCR;Llama37B;0,24166666666666664;1;0,24166666666666664;0,38926174496644295
0;PaddleOCR;Mistral7B;0,45161290322580644;1;0,45161290322580644;0,6222222222222222
0;TesseractOCR;Llama37B;0,6461538461538461;1;0,6461538461538461;0,7850467289719627
0;TesseractOCR;Mistral7B;0,5373134328358209;1;0,5373134328358209;0,6990291262135924
0;docTR;Llama37B;0,24291497975708504;1;0,24291497975708504;0,3908794788273615
0;docTR;Mistral7B;0,3471074380165289;1;0,3471074380165289;0,5153374233128835
1;EasyOCR;Llama37B;0,3333333333333333;1;0,3333333333333333;0,5
1;EasyOCR;Mistral7B;0,3103448275862069;1;0,3103448275862069;0,47368421052631576
1;KerasOCR;Llama37B;0,3333333333333333;1;0,3333333333333333;0,5
1;KerasOCR;Mistral7B;0,3103448275862069;1;0,3103448275862069;0,47368421052631576
1;PaddleOCR;Llama37B;0,24166666666666664;1;0,24166666666666664;0,38926174496644295
1;PaddleOCR;Mistral7B;0,30324909747292417;1;0,30324909747292417;0,46537396121883656
1;TesseractOCR;Llama37B;0,6774193548387096;1;0,6774193548387096;0,8076923076923077
1;TesseractOCR;Mistral7B;0,48148148148148157;1;0,48148148148148157;0,65
1;docTR;Llama37B;0,17737003058103976;1;0,17737003058103976;0,30129870129870134
1;docTR;Mistral7B;0,1700404858299595;1;0,1700404858299595;0,29065743944636674
2;EasyOCR;Llama37B;NA;NA;NA;NA
2;EasyOCR;Mistral7B;0,2962962962962963;1;0,2962962962962963;0,45714285714285713
2;KerasOCR;Llama37B;NA;NA;NA;NA
2;KerasOCR;Mistral7B;0,42105263157894735;1;0,42105263157894735;0,5925925925925926
2;PaddleOCR;Llama37B;0,22366288492706646;1;0,22366288492706646;0,3655629139072848
2;PaddleOCR;Mistral7B;0,46875;1;0,46875;0,6382978723404256
2;TesseractOCR;Llama37B;0,6774193548387096;1;0,6774193548387096;0,8076923076923077
2;TesseractOCR;Mistral7B;0,5;1;0,5;0,6666666666666666
2;docTR;Llama37B;0,16630824372759853;1;0,16630824372759853;0,2851874615857406
2;docTR;Mistral7B;0,46875;1;0,46875;0,6382978723404256
3;EasyOCR;Llama37B;0,2727272727272727;1;0,2727272727272727;0,42857142857142855
3;EasyOCR;Mistral7B;0,3076923076923077;1;0,3076923076923077;0,47058823529411764
3;KerasOCR;Llama37B;0,25;1;0,25;0,4
3;KerasOCR;Mistral7B;0,29508196721311475;1;0,29508196721311475;0,45569620253164556
3;PaddleOCR;Llama37B;0,12443642921550947;1;0,12443642921550947;0,22133119486768243
3;PaddleOCR;Mistral7B;0,4411764705882353;1;0,4411764705882353;0,6122448979591837
3;TesseractOCR;Llama37B;0,6774193548387096;1;0,6774193548387096;0,8076923076923077
3;TesseractOCR;Mistral7B;0,48148148148148157;1;0,48148148148148157;0,65
3;docTR;Llama37B;0,1601392515230635;1;0,1601392515230635;0,27606901725431354
3;docTR;Mistral7B;0,4156171284634761;1;0,4156171284634761;0,5871886120996441
4;EasyOCR;Llama37B;0,25;1;0,25;0,4
4;EasyOCR;Mistral7B;0,2978723404255319;1;0,2978723404255319;0,4590163934426229
4;KerasOCR;Llama37B;0,19354838709677416;1;0,19354838709677416;0,3243243243243243
4;KerasOCR;Mistral7B;0,3;1;0,3;0,4615384615384617
4;PaddleOCR;Llama37B;0,21983273596176822;1;0,21983273596176822;0,3604309500489716
4;PaddleOCR;Mistral7B;0,5;1;0,5;0,6666666666666666
4;TesseractOCR;Llama37B;0,48484848484848486;1;0,48484848484848486;0,6530612244897959
4;docTR;Llama37B;0,26696329254727474;1;0,26696329254727474;0,4214223002633889
5;EasyOCR;Llama37B;0,25;1;0,25;0,4
5;EasyOCR;Mistral7B;0,25;1;0,25;0,4
5;KerasOCR;Llama37B;0,25;1;0,25;0,4
5;KerasOCR;Mistral7B;0,25;1;0,25;0,4
